rank,title,year,genre,language,flickmetrix_score,imdb_100,imdb_votes,metacritic,critic_rating_rt,critic_reviews,audience_rating,audience_reviews,letterboxd,letterboxd_votes,google_score,imdbid,custom_score,score_diff
168,la la land,2016,comedy drama romance music,english,85.0,80.0,713968,94.0,89.0,333,80.0,1113199,82,3192797,84.0,tt3783958,84.83,9.0
169,night of the living dead,1968,horror thriller,english,85.0,78.0,144684,89.0,89.0,85,84.0,172279,80,254945,89.0,tt0063350,84.83,5.0
170,unforgiven,1992,western,english,84.0,82.0,451817,85.0,88.0,70,89.0,159321,84,231329,81.0,tt0105695,84.83,1.0
171,the terminator,1984,action thriller science fiction,english,85.0,81.0,958738,84.0,87.0,76,86.0,747733,78,686692,92.0,tt0088247,84.67,1.0
172,the conversation,1974,crime drama mystery,english,85.0,77.0,129280,88.0,90.0,91,86.0,88450,84,194526,83.0,tt0071360,84.67,4.0
173,the social network,2010,drama,english,85.0,78.0,786518,95.0,91.0,222,83.0,796286,78,1978430,83.0,tt1285016,84.67,8.0
174,little women,2019,drama romance history,english,84.0,78.0,265269,91.0,87.0,252,88.0,685996,84,2004290,80.0,tt3281548,84.67,1.0
175,before sunset,2004,drama romance,english,84.0,81.0,300246,91.0,85.0,116,87.0,251191,86,610745,78.0,tt0381681,84.67,2.0
176,spring summer fall winter and spring,2003,drama,korean,84.0,80.0,88675,85.0,81.0,55,89.0,37196,84,54075,89.0,tt0374546,84.67,8.0
177,the iron giant,1999,family animation science fiction adventure,english,84.0,81.0,242282,85.0,83.0,87,87.0,301689,86,494409,86.0,tt0129167,84.67,4.0
178,incendies,2010,drama war mystery,french,84.0,83.0,224467,80.0,80.0,100,89.0,125557,88,340239,88.0,tt1255953,84.67,9.0
179,barry lyndon,1975,drama romance war history,english,83.0,81.0,191699,89.0,84.0,81,89.0,119394,88,267520,77.0,tt0072684,84.67,5.0
180,the quiet girl,2022,drama,irish,84.0,77.0,25779,89.0,88.0,87,87.0,25673,82,76009,87.0,tt15109082,84.6,1.0
181,all of us strangers,2023,romance drama fantasy,english,84.0,76.0,69587,90.0,89.0,147,87.0,192826,78,576310,90.0,tt21192142,84.6,2.0
182,invasion of the body snatchers,1956,science fiction horror thriller,english,85.0,77.0,57126,92.0,91.0,60,82.0,34972,76,66272,89.0,tt0049366,84.5,9.0
183,toy story 2,1999,animation comedy family,english,85.0,79.0,641688,88.0,87.0,111,83.0,1029005,78,1083467,92.0,tt0120363,84.5,4.0
184,jaws,1975,horror thriller adventure,english,84.0,81.0,689859,87.0,92.0,112,86.0,1006664,78,1126448,83.0,tt0073195,84.5,6.0
